City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,port mathurin,-19.6833,63.4167,299.22,77,62,3.66,MU,1702248933
76,mount pearl,47.5166,-52.7813,271.66,89,20,2.06,CA,1702248882
77,laranjal paulista,-23.0497,-47.8367,293.11,93,87,4.23,BR,1702248683
78,stanley,54.868,-1.6985,279.42,96,100,1.03,GB,1702248821
79,nova sintra,14.8667,-24.7167,296.18,74,100,3.55,CV,1702248935
80,tura,25.5198,90.2201,286.96,56,0,1.75,IN,1702248816
81,carnarvon,-24.8667,113.6333,299.28,24,0,8.88,AU,1702248849
82,dededo village,13.5178,144.8391,301.06,80,40,3.6,GU,1702248938
83,silver city,32.7701,-108.2803,284.83,16,0,0.45,US,1702248938
84,veraval,20.9,70.3667,295.2,47,7,4.5,IN,1702248939
85,leshan,29.5623,103.7639,287.25,76,100,0.48,CN,1702248939
86,howard springs,-12.497,131.047,304.75,92,64,0.83,AU,1702248940
87,klyuchi,52.2667,79.1667,251.69,87,21,2.51,RU,1702248807
88,andippatti,9.9833,77.6333,296.48,91,91,0.89,IN,1702248941
89,taoudenni,22.6783,-3.9836,291.9,23,100,7.95,ML,1702248942
90,dien bien phu,21.3833,103.0167,292.27,99,41,0.44,VN,1702248943
91,kodiak,57.79,-152.4072,276.88,93,100,4.12,US,1702248943
92,cabo san lucas,22.8909,-109.9124,302.38,56,0,4.26,MX,1702248944
93,vorgashor,67.5833,63.95,248.32,100,100,3.21,RU,1702248809
94,worland,44.0169,-107.9554,276.4,57,0,2.57,US,1702248945
95,tamanrasset,22.785,5.5228,287.1,24,0,6.17,DZ,1702248880
96,remire-montjoly,4.9167,-52.2667,301.17,78,0,2.06,GF,1702248946
97,yuzhno-kurilsk,44.0306,145.8556,273.91,76,99,5.39,RU,1702248927
98,burela de cabo,43.65,-7.4,290.47,76,100,7.01,ES,1702248947
99,ust-tsilma,65.441,52.1498,247.38,99,100,2.24,RU,1702248876
100,arkhangel'sk,64.5401,40.5433,257.21,77,75,5.0,RU,1702248949
101,mmabatho,-25.85,25.6333,289.13,82,100,4.63,ZA,1702248949
102,saipan,15.1355,145.701,301.54,78,20,5.66,MP,1702248950
103,whitehorse,60.7161,-135.0538,258.6,82,100,1.54,CA,1702248950
104,tomsk,58.5,82.5,241.64,99,14,2.19,RU,1702248951
105,ust'-uda,54.1742,103.0304,237.76,100,14,1.06,RU,1702248952
106,irituia,-1.7711,-47.4381,298.96,82,43,2.33,BR,1702248952
107,olonkinbyen,70.9221,-8.7187,268.52,58,57,3.23,SJ,1702248953
108,uturoa,-16.7333,-151.4333,300.01,80,41,9.96,PF,1702248938
109,vilyuysk,63.7553,121.6247,243.88,97,100,3.23,RU,1702248954
110,glace bay,46.1969,-59.957,278.59,81,75,4.92,CA,1702248955
111,mata-utu,-13.2816,-176.1745,301.35,76,100,6.71,WF,1702248955
112,vernon,50.2581,-119.2691,277.93,90,100,2.57,CA,1702248956
113,bilibino,68.0546,166.4372,247.01,98,43,1.95,RU,1702248836
114,charikar,35.0136,69.1714,277.12,21,78,1.03,AF,1702248957
115,pandan,14.0453,124.1694,300.37,82,81,4.08,PH,1702248958
116,kalabo,-14.97,22.6814,294.65,84,96,2.69,ZM,1702248959
117,ust-nera,64.5667,143.2,253.59,98,100,4.13,RU,1702248959
118,aykhal,66.0,111.5,244.79,99,100,2.18,RU,1702248960
119,zouerate,22.7187,-12.4521,292.99,22,65,4.31,MR,1702248961
120,mercedes,-34.6515,-59.4307,298.63,50,0,4.02,AR,1702248962
121,st. john's,47.5649,-52.7093,272.12,89,20,2.06,CA,1702248793
122,boston,42.3584,-71.0598,290.21,92,100,7.72,US,1702248195
123,sao joao da barra,-21.6403,-41.0511,297.2,80,41,2.64,BR,1702248949
124,georgetown,5.4112,100.3354,300.11,92,20,3.09,MY,1702248964
125,malangali,-8.5667,34.85,291.14,91,87,3.32,TZ,1702248965
126,ribeira grande,38.5167,-28.7,290.8,80,54,7.6,PT,1702248966
127,coahuayana de hidalgo,18.7,-103.6583,301.22,65,100,0.44,MX,1702248966
128,college,64.8569,-147.8028,247.84,74,40,2.06,US,1702248967
129,talnakh,69.4865,88.3972,246.04,99,100,4.17,RU,1702248967
130,ancud,-41.8697,-73.8203,287.45,78,94,3.42,CL,1702248854
131,belmonte,-15.8631,-38.8828,298.42,82,8,3.51,BR,1702248969
132,nadi,-17.8,177.4167,301.15,44,40,6.69,FJ,1702248969
133,nar'yan-mar,67.6713,53.087,250.43,91,99,4.92,RU,1702248970
134,bazar-korgon,41.0376,72.7459,274.22,62,100,1.57,KG,1702248970
135,aioun,16.6614,-9.6149,295.84,17,11,6.0,MR,1702248971
136,kudahuvadhoo,2.6708,72.8944,301.29,75,100,3.29,MV,1702248972
137,maragogi,-9.0122,-35.2225,299.2,75,48,4.71,BR,1702248972
138,chibougamau,49.9168,-74.3659,270.94,93,100,5.14,CA,1702248973
139,durban,-29.8579,31.0292,291.66,85,100,3.31,ZA,1702248974
140,el calafate,-50.3408,-72.2768,284.14,70,100,3.21,AR,1702248975
141,la'ie,21.6477,-157.9253,303.13,71,22,1.79,US,1702248975
142,sandhausen,49.3428,8.6592,283.1,85,100,4.63,DE,1702248976
143,piggs peak,-25.9667,31.25,289.09,98,100,0.29,SZ,1702248977
144,anloga,5.7947,0.8973,301.16,78,21,4.55,GH,1702248977
145,holualoa,19.6228,-155.9522,300.68,70,20,4.63,US,1702248854
146,sungai penuh,-2.0833,101.3833,292.43,99,100,0.26,ID,1702248979
147,lompoc,34.6391,-120.4579,295.81,47,0,5.66,US,1702248827
148,labrador city,52.9463,-66.9114,272.1,93,100,7.2,CA,1702248981
149,qaqortoq,60.7167,-46.0333,263.54,75,79,2.34,GL,1702248981
150,atafu village,-8.5421,-172.5159,302.31,75,94,6.96,TK,1702248983
151,nemuro,43.3236,145.575,271.77,52,18,4.26,JP,1702248984
152,touros,-5.1989,-35.4608,299.47,70,43,5.32,BR,1702248984
153,keflavik,64.0049,-22.5624,274.39,93,100,3.6,IS,1702248865
154,sitka,57.0531,-135.33,276.09,87,100,2.57,US,1702248986
155,viedma,-40.8135,-62.9967,297.34,30,25,8.5,AR,1702248986
156,istgah-e rah ahan-e garmsar,35.2346,52.3094,285.67,32,16,2.55,IR,1702248987
157,al jawf,29.5,38.75,291.81,43,100,4.34,SA,1702248988
158,cururupu,-1.8283,-44.8683,298.44,86,58,2.42,BR,1702248988
159,inarajan village,13.2736,144.7484,302.26,87,73,6.76,GU,1702248989
160,kailua-kona,19.6406,-155.9956,302.75,69,20,4.63,US,1702248990
161,al wafrah,28.6392,47.9306,292.72,29,76,3.33,KW,1702248991
162,mount isa,-20.7333,139.5,298.02,50,78,7.72,AU,1702248991
163,west island,-12.1568,96.8225,298.14,83,40,4.12,CC,1702248992
164,phibun mangsahan,15.2447,105.2291,295.14,76,77,2.7,TH,1702248993
165,essaouira,31.5125,-9.77,290.87,34,22,1.54,MA,1702248993
166,punta arenas,-53.15,-70.9167,282.21,57,20,5.14,CL,1702248724
167,coquimbo,-29.9533,-71.3436,290.0,77,75,3.6,CL,1702248966
168,longyearbyen,78.2186,15.6401,274.06,69,75,6.17,SJ,1702248995
169,hermanus,-34.4187,19.2345,289.7,80,0,4.06,ZA,1702248839
170,tomatlan,19.9333,-105.25,301.69,53,87,1.79,MX,1702248997
171,sarigerme,36.7155,28.7044,284.88,100,75,3.6,TR,1702248998
172,arraial do cabo,-22.9661,-42.0278,296.44,76,100,4.55,BR,1702248998
173,dembi dolo,8.5333,34.8,289.83,55,59,1.67,ET,1702248999
174,mount gambier,-37.8333,140.7667,288.95,87,100,5.58,AU,1702248999
175,bowen,-20.0167,148.2333,297.68,77,100,10.63,AU,1702249000
176,severodvinsk,64.5635,39.8302,257.21,88,100,6.34,RU,1702249001
177,malanje,-9.5402,16.341,291.05,98,100,1.55,AO,1702249001
178,mersa matruh,31.3525,27.2453,286.26,50,0,0.0,EG,1702248890
179,palmer,42.1584,-72.3287,288.38,85,100,3.09,US,1702248730
180,sinabang,2.4803,96.3801,298.41,89,100,1.12,ID,1702249003
181,saint-philippe,-21.3585,55.7679,297.92,85,81,5.21,RE,1702249004
182,lubuklinggau,-3.3,102.8667,295.55,96,99,1.22,ID,1702249004
